FIPS,State Name,County Name,Number of Low Births,Number of Live Births
29001,Missouri,Adair,163,1952
29003,Missouri,Andrew,78,1275
29005,Missouri,Atchison,26,422
29007,Missouri,Audrain,204,2532
29009,Missouri,Barry,225,3224
29011,Missouri,Barton,72,1040
29013,Missouri,Bates,118,1415
29015,Missouri,Benton,81,1126
29017,Missouri,Bollinger,67,1020
29019,Missouri,Boone,1091,14748
29021,Missouri,Buchanan,678,8855
29023,Missouri,Butler,407,4016
29025,Missouri,Caldwell,61,702
29027,Missouri,Callaway,356,3598
29029,Missouri,Camden,180,2898
29031,Missouri,Cape Girardeau,553,6558
29033,Missouri,Carroll,62,788
29035,Missouri,Carter,58,545
29037,Missouri,Cass,608,8703
29039,Missouri,Cedar,66,1142
29041,Missouri,Chariton,35,619
29043,Missouri,Christian,444,7209
29045,Missouri,Clark,37,609
29047,Missouri,Clay,1429,21985
29049,Missouri,Clinton,111,1669
29051,Missouri,Cole,508,6643
29053,Missouri,Cooper,136,1450
29055,Missouri,Crawford,180,2104
29057,Missouri,Dade,34,502
29059,Missouri,Dallas,99,1498
29061,Missouri,Daviess,55,835
29063,Missouri,DeKalb,55,764
29065,Missouri,Dent,104,1242
29067,Missouri,Douglas,78,1041
29069,Missouri,Dunklin,374,3311
29071,Missouri,Franklin,649,9000
29073,Missouri,Gasconade,77,1115
29075,Missouri,Gentry,32,602
29077,Missouri,Greene,1793,25125
29079,Missouri,Grundy,66,990
29081,Missouri,Harrison,51,786
29083,Missouri,Henry,136,1864
29085,Missouri,Hickory,34,519
29087,Missouri,Holt,33,385
29089,Missouri,Howard,76,830
29091,Missouri,Howell,280,3813
29093,Missouri,Iron,61,799
29095,Missouri,Jackson,5852,69990
29097,Missouri,Jasper,824,12418
29099,Missouri,Jefferson,1390,19348
29101,Missouri,Johnson,314,5173
29103,Missouri,Knox,24,349
29105,Missouri,Laclede,238,3300
29107,Missouri,Lafayette,180,2749
29109,Missouri,Lawrence,260,3566
29111,Missouri,Lewis,56,829
29113,Missouri,Lincoln,344,5262
29115,Missouri,Linn,64,1027
29117,Missouri,Livingston,90,1185
29119,Missouri,McDonald,192,2313
29121,Missouri,Macon,90,1294
29123,Missouri,Madison,73,1059
29125,Missouri,Maries,38,628
29127,Missouri,Marion,197,2736
29129,Missouri,Mercer,23,295
29131,Missouri,Miller,145,2176
29133,Missouri,Mississippi,150,1256
29135,Missouri,Moniteau,92,1492
29137,Missouri,Monroe,67,681
29139,Missouri,Montgomery,73,1020
29141,Missouri,Morgan,116,1799
29143,Missouri,New Madrid,203,1680
29145,Missouri,Newton,366,5314
29147,Missouri,Nodaway,95,1644
29149,Missouri,Oregon,82,881
29151,Missouri,Osage,75,1112
29153,Missouri,Ozark,56,656
29155,Missouri,Pemiscot,282,2063
29157,Missouri,Perry,121,1623
29159,Missouri,Pettis,282,4224
29161,Missouri,Phelps,275,3829
29163,Missouri,Pike,137,1562
29165,Missouri,Platte,519,7834
29167,Missouri,Polk,170,2745
29169,Missouri,Pulaski,422,5812
29171,Missouri,Putnam,24,377
29173,Missouri,Ralls,54,742
29175,Missouri,Randolph,158,2156
29177,Missouri,Ray,139,1854
29179,Missouri,Reynolds,32,437
29181,Missouri,Ripley,127,1266
29183,Missouri,St. Charles,2247,32075
29185,Missouri,St. Clair,50,661
29186,Missouri,Ste. Genevieve,77,1264
29187,Missouri,St. Francois,456,5498
29189,Missouri,St. Louis,7273,82296
29195,Missouri,Saline,180,2149
29197,Missouri,Schuyler,27,382
29199,Missouri,Scotland,20,522
29201,Missouri,Scott,360,3922
29203,Missouri,Shannon,59,697
29205,Missouri,Shelby,47,546
29207,Missouri,Stoddard,219,2483
29209,Missouri,Stone,142,1919
29211,Missouri,Sullivan,54,637
29213,Missouri,Taney,349,4520
29215,Missouri,Texas,159,2105
29217,Missouri,Vernon,118,1836
29219,Missouri,Warren,178,2996
29221,Missouri,Washington,204,2199
29223,Missouri,Wayne,95,1010
29225,Missouri,Webster,215,3734
29227,Missouri,Worth,,
29229,Missouri,Wright,124,1739
29510,Missouri,St. Louis City,4234,35313
